UF,MUNICIPIO,ID_IBGE,POPULACAO_TOTAL
PE,Buenos Aires,2602704,13276
BA,Buerarema,2904704,14950
MG,Bugre,3109253,4159
PE,Buíque,2602803,53489
AC,Bujari,1200138,13928
PA,Bujaru,1501907,25065
SP,Buri,3508009,20731
SP,Buritama,3508108,17658
MA,Buriti,2102200,30866
GO,Buriti Alegre,5203906,10930
MA,Buriti Bravo,2102309,22938
GO,Buriti de Goiás,5203939,2800
TO,Buriti do Tocantins,1703800,10696
PI,Buriti dos Lopes,2202000,20130
PI,Buriti dos Montes,2202026,7517
MA,Buriticupu,2102325,56733
GO,Buritinópolis,5203962,3140
BA,Buritirama,2904753,20221
MA,Buritirana,2102358,13125
RO,Buritis,1100452,30649
MG,Buritis,3109303,24779
SP,Buritizal,3508207,4458
MG,Buritizeiro,3109402,23908
RS,Butiá,4302709,19421
AM,Caapiranga,1300839,14806
PB,Caaporã,2503001,21942
MS,Caarapó,5002407,32748
BA,Caatiba,2904803,6128
PB,Cabaceiras,2503100,5537
BA,Cabaceiras do Paraguaçu,2904852,17024
MG,Cabeceira Grande,3109451,6811
GO,Cabeceiras,5204003,7689
PI,Cabeceiras do Piauí,2202059,10466
PB,Cabedelo,2503209,70734
RO,Cabixi,1100031,5664
PE,Cabo de Santo Agostinho,2602902,218049
RJ,Cabo Frio,3300704,238438
MG,Cabo Verde,3109501,11269
SP,Cabrália Paulista,3508306,4360
SP,Cabreúva,3508405,48654
PE,Cabrobó,2603009,31762
SC,Caçador,4203006,76298
SP,Caçapava,3508504,100071
RS,Caçapava do Sul,4302808,33501
RO,Cacaulândia,1100601,4292
RS,Cacequi,4302907,11300
MT,Cáceres,5102504,91767
BA,Cachoeira,2904902,30498
GO,Cachoeira Alta,5204102,11854
MG,Cachoeira da Prata,3109600,3785
GO,Cachoeira de Goiás,5204201,1417
MG,Cachoeira de Minas,3109709,12302
MG,Cachoeira de Pajeú,3102704,9347
PA,Cachoeira do Arari,1502004,25467
PA,Cachoeira do Piriá,1501956,19223
RS,Cachoeira do Sul,4303004,82222
PB,Cachoeira dos Índios,2503308,9335
MG,Cachoeira Dourada,3109808,2337
GO,Cachoeira Dourada,5204250,7762
MA,Cachoeira Grande,2102374,10032
SP,Cachoeira Paulista,3508603,32534
RJ,Cachoeiras de Macacu,3300803,59861
RS,Cachoeirinha,4303103,141503
TO,Cachoeirinha,1703826,1982
PE,Cachoeirinha,2603108,20673
ES,Cachoeiro de Itapemirim,3201209,198342
PB,Cacimba de Areia,2503407,3344
PB,Cacimba de Dentro,2503506,16332
PB,Cacimbas,2503555,7513
AL,Cacimbinhas,2701209,10705
RS,Cacique Doble,4303202,4692
RO,Cacoal,1100049,98280
SP,Caconde,3508702,17228
GO,Caçu,5204300,14034
BA,Caculé,2905008,23293
BA,Caém,2905107,10733
MG,Caetanópolis,3109907,11906
BA,Caetanos,2905156,11432
MG,Caeté,3110004,39775
PE,Caetés,2603207,30571
BA,Caetité,2905206,54730
BA,Cafarnaum,2905305,18057
PR,Cafeara,4103404,2648
PR,Cafelândia,4103453,20145
SP,Cafelândia,3508801,16907
PR,Cafezal do Sul,4103479,4580
SP,Caiabu,3508900,3726
MG,Caiana,3110103,5484
GO,Caiapônia,5204409,16628
RS,Caibaté,4303301,4795
SC,Caibi,4203105,6441
RS,Caiçara,4303400,4931
PB,Caiçara,2503605,6684
RN,Caiçara do Norte,2401859,6479
RN,Caiçara do Rio do Vento,2401909,3360
RN,Caicó,2402006,63338
SP,Caieiras,3509007,98549
BA,Cairu,2905404,18578
SP,Caiuá,3509106,5599
SP,Cajamar,3509205,98365
MA,Cajapió,2102408,10336
MA,Cajari,2102507,16680
SP,Cajati,3509254,29262
PB,Cajazeiras,2503704,66585
PI,Cajazeiras do Piauí,2202075,3135
PB,Cajazeirinhas,2503753,2760
SP,Cajobi,3509304,9210
AL,Cajueiro,2701308,16572
PI,Cajueiro da Praia,2202083,8246
MG,Cajuri,3110202,4191
SP,Cajuru,3509403,24233
PE,Calçado,2603306,11453
AP,Calçoene,1600204,11461
MG,Caldas,3110301,14628
PB,Caldas Brandão,2503803,5942
GO,Caldas Novas,5204508,106820
GO,Caldazinha,5204557,4819
BA,Caldeirão Grande,2905503,13597
PI,Caldeirão Grande do Piauí,2202091,5602
PR,Califórnia,4103503,8963
SC,Calmon,4203154,3519
PE,Calumbi,2603405,5354
BA,Camacan,2905602,22485
BA,Camaçari,2905701,321636
MG,Camacho,3110400,2851
PB,Camalaú,2503902,6327
BA,Camamu,2905800,31694
MG,Camanducaia,3110509,27860
MS,Camapuã,5002605,13928
RS,Camaquã,4303509,63961
PE,Camaragibe,2603454,156112
RS,Camargo,4303558,3060
PR,Cambará,4103602,23393
RS,Cambará do Sul,4303608,6490
PR,Cambé,4103701,110923
PR,Cambira,4103800,10045
SC,Camboriú,4203204,117324
RJ,Cambuci,3300902,15069
MG,Cambuí,3110608,31066
MG,Cambuquira,3110707,12551
PA,Cametá,1502103,144859
CE,Camocim,2302602,65251
PE,Camocim de São Félix,2603504,18018
MG,Campanário,3110806,2884
MG,Campanha,3110905,16372
MG,Campestre,3111002,21155
AL,Campestre,2701357,6808
RS,Campestre da Serra,4303673,3311
GO,Campestre de Goiás,5204607,3879
MA,Campestre do Maranhão,2102556,12536
PR,Campina da Lagoa,4103909,16014
RS,Campina das Missões,4303707,5999
SP,Campina do Monte Alegre,3509452,6090
PR,Campina do Simão,4103958,3954
PB,Campina Grande,2504009,443911
PR,Campina Grande do Sul,4104006,50600
MG,Campina Verde,3111101,18188
GO,Campinaçu,5204656,3760
MT,Campinápolis,5102603,15808
SP,Campinas,3509502,1187974
PI,Campinas do Piauí,2202109,4964
RS,Campinas do Sul,4303806,5388
GO,Campinorte,5204706,12983
SC,Campo Alegre,4203303,12886
AL,Campo Alegre,2701407,32558
GO,Campo Alegre de Goiás,5204805,7807
BA,Campo Alegre de Lourdes,2905909,32500
PI,Campo Alegre do Fidalgo,2202117,4698
MG,Campo Azul,3111150,3806
MG,Campo Belo,3111200,54027
SC,Campo Belo do Sul,4203402,7324
RS,Campo Bom,4303905,64719
PR,Campo Bonito,4104055,3997
SE,Campo do Brito,2801009,18719
MG,Campo do Meio,3111309,11625
PR,Campo do Tenente,4104105,7693
SC,Campo Erê,4203501,9864
MG,Campo Florido,3111408,8931
BA,Campo Formoso,2906006,75112
AL,Campo Grande,2701506,8285
RN,Campo Grande,2401305,10071
MS,Campo Grande,5002704,962883
PI,Campo Grande do Piauí,2202133,6211
PR,Campo Largo,4104204,144504
PI,Campo Largo do Piauí,2202174,7669
GO,Campo Limpo de Goiás,5204854,8579
SP,Campo Limpo Paulista,3509601,79781
PR,Campo Magro,4104253,31888
PI,Campo Maior,2202208,47119
PR,Campo Mourão,4104303,104122
RS,Campo Novo,4304002,5063
RO,Campo Novo de Rondônia,1100700,9095
MT,Campo Novo do Parecis,5102637,51722
RN,Campo Redondo,2402105,10510
MT,Campo Verde,5102678,49053
MG,Campos Altos,3111507,13076
GO,Campos Belos,5204904,18227
RS,Campos Borges,4304101,3695
MT,Campos de Júlio,5102686,9946
SP,Campos do Jordão,3509700,47956
RJ,Campos dos Goytacazes,3301009,519259
MG,Campos Gerais,3111606,26749
TO,Campos Lindos,1703842,8990
SC,Campos Novos,4203600,39049
SP,Campos Novos Paulista,3509809,5003
CE,Campos Sales,2302701,26049
GO,Campos Verdes,5204953,3822
PE,Camutanga,2603603,7962
MG,Cana Verde,3111903,5342
MG,Canaã,3111705,4839
PA,Canaã dos Carajás,1502152,89524
MT,Canabrava do Norte,5102694,4451
SP,Cananéia,3509908,12491
AL,Canapi,2701605,15730
BA,Canápolis,2906105,10641
MG,Canápolis,3111804,10716
BA,Canarana,2906204,25007
MT,Canarana,5102702,28324
SP,Canas,3509957,5068
PI,Canavieira,2202251,3404
BA,Canavieiras,2906303,34392
BA,Candeal,2906402,7940
BA,Candeias,2906501,74854
MG,Candeias,3112000,14211
RO,Candeias do Jamari,1100809,24313
RS,Candelária,4304200,29775
BA,Candiba,2906600,13417
PR,Cândido de Abreu,4104402,15081
RS,Cândido Godói,4304309,6419
MA,Cândido Mendes,2102606,20440
SP,Cândido Mota,3510005,30157
SP,Cândido Rodrigues,3510104,2959
BA,Cândido Sales,2906709,26469
RS,Candiota,4304358,11012
PR,Candói,4104428,15174
RS,Canela,4304408,50715
SC,Canelinha,4203709,13618
RN,Canguaretama,2402204,30789
RS,Canguçu,4304507,50968
SE,Canhoba,2801108,3850
PE,Canhotinho,2603702,25103
CE,Canindé,2302800,77376
SE,Canindé de São Francisco,2801207,33641
SP,Canitar,3510153,6589
RS,Canoas,4304606,359840
SC,Canoinhas,4203808,56948
BA,Cansanção,2906808,39725
RR,Cantá,1400175,21102
MG,Cantagalo,3112059,4029
RJ,Cantagalo,3301108,19995
PR,Cantagalo,4104451,10672
MA,Cantanhede,2102705,25059
PI,Canto do Buriti,2202307,19639
BA,Canudos,2906824,16693
RS,Canudos do Vale,4304614,1686
AM,Canutama,1300904,18109
PA,Capanema,1502202,75309
PR,Capanema,4104501,21088
SC,Capão Alto,4203253,2636
SP,Capão Bonito,3510203,47409
RS,Capão Bonito do Sul,4304622,1769
RS,Capão da Canoa,4304630,66234
RS,Capão do Cipó,4304655,3187
RS,Capão do Leão,4304663,27416
MG,Caparaó,3112109,5138
SE,Capela,2801306,32783
AL,Capela,2701704,15051
RS,Capela de Santana,4304689,11424
SP,Capela do Alto,3510302,23777
BA,Capela do Alto Alegre,2906857,11035
MG,Capela Nova,3112208,4397
MG,Capelinha,3112307,41858
MG,Capetinga,3112406,6627
PB,Capim,2504033,7446
MG,Capim Branco,3112505,11210
BA,Capim Grosso,2906873,35437
MG,Capinópolis,3112604,14872
SC,Capinzal,4203907,24414
MA,Capinzal do Norte,2102754,11681
CE,Capistrano,2302909,17795
RS,Capitão,4304697,2994
MG,Capitão Andrade,3112653,4634
PI,Capitão de Campos,2202406,11362
MG,Capitão Enéas,3112703,14403
PI,Capitão Gervásio Oliveira,2202455,4071
PR,Capitão Leônidas Marques,4104600,14776
PA,Capitão Poço,1502301,60318
MG,Capitólio,3112802,10991
SP,Capivari,3510401,51369
SC,Capivari de Baixo,4203956,25015
RS,Capivari do Sul,4304671,4080
AC,Capixaba,1200179,10981
PE,Capoeiras,2603801,18854
MG,Caputira,3112901,9128
RS,Caraá,4304713,7555
RR,Caracaraí,1400209,22750
PI,Caracol,2202505,10546
MS,Caracol,5002803,5096
SP,Caraguatatuba,3510500,142248
MG,Caraí,3113008,19511
BA,Caraíbas,2906899,10259
PR,Carambeí,4104659,24469
MG,Caranaíba,3113107,2942
MG,Carandaí,3113206,24403
MG,Carangola,3113305,32134
RJ,Carapebus,3300936,14329
SP,Carapicuíba,3510609,398236
MG,Caratinga,3113404,90890
AM,Carauari,1301001,31130
PB,Caraúbas,2504074,4067
RN,Caraúbas,2402303,20182
PI,Caraúbas do Piauí,2202539,5581
BA,Caravelas,2906907,21384
RS,Carazinho,4304705,63670
MG,Carbonita,3113503,8603
BA,Cardeal da Silva,2907004,8633
SP,Cardoso,3510708,11476
RJ,Cardoso Moreira,3301157,13407
MG,Careaçu,3113602,7062
AM,Careiro,1301100,32336
AM,Careiro da Várzea,1301159,20324
ES,Cariacica,3201308,376200
CE,Caridade,2303006,16234
PI,Caridade do Piauí,2202554,5176
BA,Carinhanha,2907103,30439
SE,Carira,2801405,20314
CE,Cariré,2303105,18074
TO,Cariri do Tocantins,1703867,4166
CE,Caririaçu,2303204,27532
CE,Cariús,2303303,17277
MT,Carlinda,5102793,10260
PR,Carlópolis,4104709,17788
RS,Carlos Barbosa,4304804,31585
MG,Carlos Chagas,3113701,18783
RS,Carlos Gomes,4304853,1384
MG,Carmésia,3113800,2693
RJ,Carmo,3301207,17741
MG,Carmo da Cachoeira,3113909,11767
MG,Carmo da Mata,3114006,11291
MG,Carmo de Minas,3114105,14125
MG,Carmo do Cajuru,3114204,24581
MG,Carmo do Paranaíba,3114303,29885
MG,Carmo do Rio Claro,3114402,21506
GO,Carmo do Rio Verde,5205000,9988
TO,Carmolândia,1703883,2242
SE,Carmópolis,2801504,14203
MG,Carmópolis de Minas,3114501,18561
PE,Carnaíba,2603900,19533
RN,Carnaúba dos Dantas,2402402,8296
RN,Carnaubais,2402501,10026
CE,Carnaubal,2303402,17815
PE,Carnaubeira da Penha,2603926,12712
MG,Carneirinho,3114550,9633
AL,Carneiros,2701803,9206
RR,Caroebe,1400233,12004
MA,Carolina,2102804,24619
PE,Carpina,2604007,83482
MG,Carrancas,3114600,4161
PB,Carrapateira,2504108,2365
TO,Carrasco Bonito,1703891,3344
PE,Caruaru,2604106,405408
MA,Carutapera,2102903,24906
MG,Carvalhópolis,3114709,3419
MG,Carvalhos,3114808,4503
SP,Casa Branca,3510807,28779
MG,Casa Grande,3114907,2260
BA,Casa Nova,2907202,76131
RS,Casca,4304903,9698
MG,Cascalho Rico,3115003,2751
CE,Cascavel,2303501,76866
PR,Cascavel,4104808,368195
TO,Caseara,1703909,5028
RS,Caseiros,4304952,3064
RJ,Casimiro de Abreu,3301306,48636
PE,Casinhas,2604155,13468
PB,Casserengue,2504157,7052
MG,Cássia,3115102,17491
SP,Cássia dos Coqueiros,3510906,2861
MS,Cassilândia,5002902,21565
PA,Castanhal,1502400,209126
MT,Castanheira,5102850,7392
RO,Castanheiras,1100908,3450
GO,Castelândia,5205059,2871
ES,Castelo,3201407,39575
PI,Castelo do Piauí,2202604,19669
SP,Castilho,3511003,20485
PR,Castro,4104907,75644
BA,Castro Alves,2907301,25470
MG,Cataguases,3115300,67732
GO,Catalão,5205109,122760
SP,Catanduva,3511102,119275
PR,Catanduvas,4105003,10621
SC,Catanduvas,4204004,11033
CE,Catarina,2303600,9110
MG,Catas Altas,3115359,5706
MG,Catas Altas da Noruega,3115409,3124
PE,Catende,2604205,33086
SP,Catiguá,3511201,7101
PB,Catingueira,2504207,4556
BA,Catolândia,2907400,3567
PB,Catolé do Rocha,2504306,32288
BA,Catu,2907509,50109
RS,Catuípe,4305009,8834
MG,Catuji,3115458,7248
CE,Catunda,2303659,10864
GO,Caturaí,5205208,5352
BA,Caturama,2907558,9108
PB,Caturité,2504355,5544
MG,Catuti,3115474,4788
CE,Caucaia,2303709,378406
GO,Cavalcante,5205307,9730
MG,Caxambu,3115508,21412
SC,Caxambu do Sul,4204103,4752
MA,Caxias,2103000,163546
RS,Caxias do Sul,4305108,479599
PI,Caxingó,2202653,5682
RN,Ceará-Mirim,2402600,83543
MA,Cedral,2103109,10446
SP,Cedral,3511300,13314
CE,Cedro,2303808,22564
PE,Cedro,2604304,10843
SE,Cedro de São João,2801603,5474
MG,Cedro do Abaeté,3115607,1084
SC,Celso Ramos,4204152,2864
RS,Centenário,4305116,2777
TO,Centenário,1704105,2111
PR,Centenário do Sul,4105102,10903
BA,Central,2907608,16847
MG,Central de Minas,3115706,6213
MA,Central do Maranhão,2103125,7220
MG,Centralina,3115805,10447
MA,Centro do Guilherme,2103158,12693
MA,Centro Novo do Maranhão,2103174,16477
RO,Cerejeiras,1100056,16966
GO,Ceres,5205406,22570
SP,Cerqueira César,3511409,22210
SP,Cerquilho,3511508,46391
RS,Cerrito,4305124,5910
PR,Cerro Azul,4105201,16287
RS,Cerro Branco,4305132,3859
RN,Cerro Corá,2402709,11334
RS,Cerro Grande,4305157,2428
RS,Cerro Grande do Sul,4305173,9333
RS,Cerro Largo,4305207,14014
SC,Cerro Negro,4204178,3303
SP,Cesário Lange,3511607,19707
PR,Céu Azul,4105300,11255
GO,Cezarina,5205455,8301
PE,Chã de Alegria,2604403,13496
PE,Chã Grande,2604502,21258
AL,Chã Preta,2701902,6000
MG,Chácara,3115904,3194
MG,Chalé,3116001,6289
RS,Chapada,4305306,9751
TO,Chapada da Natividade,1705102,3176
TO,Chapada de Areia,1704600,1574
MG,Chapada do Norte,3116100,9763
MT,Chapada dos Guimarães,5103007,19458
MG,Chapada Gaúcha,3116159,12904
GO,Chapadão do Céu,5205471,14321
SC,Chapadão do Lageado,4204194,3053
MS,Chapadão do Sul,5002951,34606
MA,Chapadinha,2103208,84395
SC,Chapecó,4204202,282648
SP,Charqueada,3511706,15814
RS,Charqueadas,4305355,36110
RS,Charrua,4305371,2800
CE,Chaval,2303907,12811
SP,Chavantes,3557204,12415
PA,Chaves,1502509,21501
MG,Chiador,3116209,2868
RS,Chiapetta,4305405,3991
PR,Chopinzinho,4105409,21604
CE,Choró,2303931,12352
CE,Chorozinho,2303956,20808
BA,Chorrochó,2907707,10933
RS,Chuí,4305439,6409
RO,Chupinguaia,1100924,10191
RS,Chuvisca,4305447,4682
PR,Cianorte,4105508,82988
BA,Cícero Dantas,2907806,32292
PR,Cidade Gaúcha,4105607,11705
GO,Cidade Ocidental,5205497,101570
MA,Cidelândia,2103257,13141
RS,Cidreira,4305454,17583
BA,Cipó,2907905,17875
MG,Cipotânea,3116308,5549
RS,Ciríaco,4305504,4208
MG,Claraval,3116407,4786
MG,Claro dos Poções,3116506,7230
MT,Cláudia,5103056,9301
MG,Cláudio,3116605,31936
SP,Clementina,3511904,7084
PR,Clevelândia,4105706,14833
BA,Coaraci,2908002,17557
AM,Coari,1301209,73576
PI,Cocal,2202703,29302
PI,Cocal de Telha,2202711,5046
SC,Cocal do Sul,4204251,18106
PI,Cocal dos Alves,2202729,6596
MT,Cocalinho,5103106,6495
GO,Cocalzinho de Goiás,5205513,27196
BA,Cocos,2908101,19865
AM,Codajás,1301308,24572
MA,Codó,2103307,118283
MA,Coelho Neto,2103406,42841
MG,Coimbra,3116704,7293
AL,Coité do Nóia,2702009,11036
PI,Coivaras,2202737,4249
PA,Colares,1502608,13625
ES,Colatina,3201506,129301
MT,Colíder,5103205,32054
SP,Colina,3512001,18880
RS,Colinas,4305587,2474
MA,Colinas,2103505,41788
GO,Colinas do Sul,5205521,4188
TO,Colinas do Tocantins,1705508,36209
TO,Colméia,1716703,9155
MT,Colniza,5103254,26026
SP,Colômbia,3512100,6802
PR,Colombo,4105805,241672
PI,Colônia do Gurguéia,2202752,6294
PI,Colônia do Piauí,2202778,7067
AL,Colônia Leopoldina,2702108,15915
PR,Colorado,4105904,23313
RS,Colorado,4305603,3316
RO,Colorado do Oeste,1100064,16508
MG,Coluna,3116803,8206
TO,Combinado,1705557,4906
MG,Comendador Gomes,3116902,2804
RJ,Comendador Levy Gasparian,3300951,9048
MG,Comercinho,3117009,6540
MT,Comodoro,5103304,18469
PB,Conceição,2504405,18731
MG,Conceição da Aparecida,3117108,10705
ES,Conceição da Barra,3201605,28923
MG,Conceição da Barra de Minas,3115201,3576
BA,Conceição da Feira,2908200,21529
MG,Conceição das Alagoas,3117306,30278
MG,Conceição das Pedras,3117207,2840
MG,Conceição de Ipanema,3117405,4503
RJ,Conceição de Macabu,3301405,21770
BA,Conceição do Almeida,2908309,16134
PA,Conceição do Araguaia,1502707,47144
PI,Conceição do Canindé,2202802,5078
ES,Conceição do Castelo,3201704,12472
BA,Conceição do Coité,2908408,71601
BA,Conceição do Jacuípe,2908507,37622
MA,Conceição do Lago-Açu,2103554,15278
MG,Conceição do Mato Dentro,3117504,24559
MG,Conceição do Pará,3117603,5584
MG,Conceição do Rio Verde,3117702,12765
TO,Conceição do Tocantins,1705607,3942
MG,Conceição dos Ouros,3117801,11218
SP,Conchal,3512209,29132
SP,Conchas,3512308,15345
SC,Concórdia,4204301,87206
PA,Concórdia do Pará,1502756,28270
PB,Condado,2504504,6629
PE,Condado,2604601,25416
BA,Conde,2908606,24460
PB,Conde,2504603,30007
BA,Condeúba,2908705,17567
RS,Condor,4305702,6538
MG,Cônego Marinho,3117836,7433
MG,Confins,3117876,7758
MT,Confresa,5103353,38460
PB,Congo,2504702,5124
MG,Congonhal,3117900,11444
MG,Congonhas,3118007,55272
MG,Congonhas do Norte,3118106,4924
PR,Congonhinhas,4106001,8445
MG,Conquista,3118205,6878
MT,Conquista D'Oeste,5103361,3908
MG,Conselheiro Lafaiete,3118304,138946
PR,Conselheiro Mairinck,4106100,3474
MG,Conselheiro Pena,3118403,21052
MG,Consolação,3118502,1569
RS,Constantina,4305801,10631
MG,Contagem,3118601,651718
PR,Contenda,4106209,20006
BA,Contendas do Sincorá,2908804,4499
MG,Coqueiral,3118700,9188
RS,Coqueiro Baixo,4305835,1308
AL,Coqueiro Seco,2702207,5701
RS,Coqueiros do Sul,4305850,2248
MG,Coração de Jesus,3118809,26138
BA,Coração de Maria,2908903,28408
PR,Corbélia,4106308,17933
RJ,Cordeiro,3301504,21448
SP,Cordeirópolis,3512407,25286
BA,Cordeiros,2909000,7748
SC,Cordilheira Alta,4204350,5192
MG,Cordisburgo,3118908,7535
MG,Cordislândia,3119005,3236
CE,Coreaú,2304004,21417
PB,Coremas,2504801,14987
MS,Corguinho,5003108,4892
BA,Coribe,2909109,14463
MG,Corinto,3119104,23988
PR,Cornélio Procópio,4106407,45720
MG,Coroaci,3119203,11240
SP,Coroados,3512506,5504
MA,Coroatá,2103604,61337
MG,Coromandel,3119302,30114
RS,Coronel Barros,4305871,2896
RS,Coronel Bicaco,4305900,6214
PR,Coronel Domingos Soares,4106456,5427
RN,Coronel Ezequiel,2402808,5233
MG,Coronel Fabriciano,3119401,108708
SC,Coronel Freitas,4204400,10604
RN,Coronel João Pessoa,2402907,4297
BA,Coronel João Sá,2909208,17598
PI,Coronel José Dias,2202851,4291
SP,Coronel Macedo,3512605,4271
SC,Coronel Martins,4204459,1993
MG,Coronel Murta,3119500,8237
MG,Coronel Pacheco,3119609,2789
RS,Coronel Pilar,4305934,1637
MS,Coronel Sapucaia,5003157,14685
PR,Coronel Vivida,4106506,24010
MG,Coronel Xavier Chaves,3119708,3599
MG,Córrego Danta,3119807,2956
MG,Córrego do Bom Jesus,3119906,4462
GO,Córrego do Ouro,5205703,2441
MG,Córrego Fundo,3119955,6333
MG,Córrego Novo,3120003,2900
SC,Correia Pinto,4204558,16253
PI,Corrente,2202901,28381
PE,Correntes,2604700,17670
BA,Correntina,2909307,34266
PE,Cortês,2604809,10426
MS,Corumbá,5003207,98751
GO,Corumbá de Goiás,5205802,10724
GO,Corumbaíba,5205901,9484
SP,Corumbataí,3512704,4296
PR,Corumbataí do Sul,4106555,3770
RO,Corumbiara,1100072,7968
SC,Corupá,4204509,15912
AL,Coruripe,2702306,51784
SP,Cosmópolis,3512803,61167
SP,Cosmorama,3512902,9019
RO,Costa Marques,1100080,13510
MS,Costa Rica,5003256,28740
BA,Cotegipe,2909406,13463
SP,Cotia,3513009,289493
RS,Cotiporã,4305959,3926
MT,Cotriguaçu,5103379,10030
MG,Couto de Magalhães de Minas,3120102,4351
TO,Couto Magalhães,1706001,5540
RS,Coxilha,4305975,2718
MS,Coxim,5003306,33440
PB,Coxixola,2504850,1888
AL,Craíbas,2702355,26144
CE,Crateús,2304103,80130
CE,Crato,2304202,139027
SP,Cravinhos,3513108,34307
BA,Cravolândia,2909505,4491
SC,Criciúma,4204608,227438
MG,Crisólita,3120151,5256
BA,Crisópolis,2909604,20346
RS,Crissiumal,4306007,13116
MG,Cristais,3120201,12634
SP,Cristais Paulista,3513207,9600
RS,Cristal,4306056,7455
RS,Cristal do Sul,4306072,2745
TO,Cristalândia,1706100,6392
PI,Cristalândia do Piauí,2203008,7431
MG,Cristália,3120300,5133
GO,Cristalina,5206206,66827
MG,Cristiano Otoni,3120409,4719
GO,Cristianópolis,5206305,3670
MG,Cristina,3120508,10643
SE,Cristinápolis,2801702,17594
PI,Cristino Castro,2203107,10801
BA,Cristópolis,2909703,14549
GO,Crixás,5206404,17532
TO,Crixás do Tocantins,1706258,1494
CE,Croatá,2304236,18050
GO,Cromínia,5206503,3999
MG,Crucilândia,3120607,5674
CE,Cruz,2304251,32288
RS,Cruz Alta,4306106,60454
BA,Cruz das Almas,2909802,63326
PB,Cruz do Espírito Santo,2504900,17821
PR,Cruz Machado,4106803,15759
SP,Cruzália,3513306,2123
RS,Cruzaltense,4306130,1650
SP,Cruzeiro,3513405,76444
MG,Cruzeiro da Fortaleza,3120706,3616
PR,Cruzeiro do Iguaçu,4106571,4129
PR,Cruzeiro do Oeste,4106605,24859
PR,Cruzeiro do Sul,4106704,4543
RS,Cruzeiro do Sul,4306205,12574
AC,Cruzeiro do Sul,1200203,98916
RN,Cruzeta,2403004,8245
MG,Cruzília,3120805,15831
PR,Cruzmaltina,4106852,2870
SP,Cubatão,3513504,114870
PB,Cubati,2505006,7842
MT,Cuiabá,5103403,691875
PB,Cuité,2505105,20208
PB,Cuité de Mamanguape,2505238,6441
PB,Cuitegi,2505204,6890
RO,Cujubim,1100940,15877
GO,Cumari,5206602,2951
PE,Cumaru,2604908,16215
PA,Cumaru do Norte,1502764,15150
SE,Cumbe,2801900,3872
SP,Cunha,3513603,22460
SC,Cunha Porã,4204707,11242
SC,Cunhataí,4204756,2026
MG,Cuparaque,3120839,3958
PE,Cupira,2605004,24343
BA,Curaçá,2909901,36127
PI,Curimatá,2203206,11581
PA,Curionópolis,1502772,20975
PR,Curitiba,4106902,1830795
SC,Curitibanos,4204806,41741
PR,Curiúva,4107009,13784
PI,Currais,2203230,4977
RN,Currais Novos,2403103,42922
PB,Curral de Cima,2505279,5415
MG,Curral de Dentro,3120870,7662
PI,Curral Novo do Piauí,2203271,5191
PB,Curral Velho,2505303,2316
PA,Curralinho,1502806,36814
PI,Curralinhos,2203255,4555
PA,Curuá,1502855,14954
PA,Curuçá,1502905,44880
MA,Cururupu,2103703,32602
MT,Curvelândia,5103437,4970
MG,Curvelo,3120904,84297
PE,Custódia,2605103,39609
AP,Cutias,1600212,4723
GO,Damianópolis,5206701,3917
PB,Damião,2505352,5141
GO,Damolândia,5206800,2753
TO,Darcinópolis,1706506,6093
BA,Dário Meira,2910008,11054
MG,Datas,3121001,5635
RS,David Canabarro,4306304,4400
GO,Davinópolis,5206909,1889
MA,Davinópolis,2103752,14828
MG,Delfim Moreira,3121100,8133
MG,Delfinópolis,3121209,8851
AL,Delmiro Gouveia,2702405,52845
MG,Delta,3121258,11143
PI,Demerval Lobão,2203305,17139
MT,Denise,5103452,6675
MS,Deodápolis,5003454,14317
CE,Deputado Irapuan Pinheiro,2304269,9173
RS,Derrubadas,4306320,2793
SP,Descalvado,3513702,32663
SC,Descanso,4204905,8652
MG,Descoberto,3121308,5070
PB,Desterro,2505402,8314
MG,Desterro de Entre Rios,3121407,7941
MG,Desterro do Melo,3121506,3060
RS,Dezesseis de Novembro,4306353,2540
SP,Diadema,3513801,403579
PB,Diamante,2505600,6416
PR,Diamante do Norte,4107108,5139
PR,Diamante do Sul,4107124,3147
PR,Diamante D'Oeste,4107157,4513
MG,Diamantina,3121605,49493
MT,Diamantino,5103502,22623
TO,Dianópolis,1707009,17966
BA,Dias d'Ávila,2910057,75296
RS,Dilermando de Aguiar,4306379,2856
MG,Diogo de Vasconcelos,3121704,3581
MG,Dionísio,3121803,6689
SC,Dionísio Cerqueira,4205001,15316
GO,Diorama,5207105,1991
SP,Dirce Reis,3513850,1639
PI,Dirceu Arcoverde,2203354,7259
SE,Divina Pastora,2802007,4436
MG,Divinésia,3121902,4481
MG,Divino,3122009,21428
MG,Divino das Laranjeiras,3122108,4147
ES,Divino de São Lourenço,3201803,5397
SP,Divinolândia,3513900,11305
MG,Divinolândia de Minas,3122207,6583
MG,Divinópolis,3122306,243583
GO,Divinópolis de Goiás,5208301,4405
TO,Divinópolis do Tocantins,1707108,7343
MG,Divisa Alegre,3122355,6541
MG,Divisa Nova,3122405,6002
MG,Divisópolis,3122454,10659
SP,Dobrada,3514007,8986
SP,Dois Córregos,3514106,24847
RS,Dois Irmãos,4306403,31804
RS,Dois Irmãos das Missões,4306429,2132
MS,Dois Irmãos do Buriti,5003488,11521
